doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
nguoi-hoc-du-thi,data/khao-thi-phuc-khao/nguoi-hoc-du-thi.md,Trách nhiệm của người học khi dự thi,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN ngày 21/02/2025,public-source
phuc-khao-nguoi-hoc,data/khao-thi-phuc-khao/phuc-khao-nguoi-hoc.md,Phúc khảo — quy định dành cho người học,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
phuc-khao-giang-vien,data/khao-thi-phuc-khao/phuc-khao-giang-vien.md,Phúc khảo — quy định dành cho giảng viên và đơn vị,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
can-bo-coi-thi,data/khao-thi-phuc-khao/can-bo-coi-thi.md,Trách nhiệm của cán bộ coi thi,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
cham-thi,data/khao-thi-phuc-khao/cham-thi.md,Chấm thi và nhập điểm,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
bien-soan-de-thi,data/khao-thi-phuc-khao/bien-soan-de-thi.md,Nội dung và biên soạn đề thi,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
hinh-thuc-thoi-luong-thi,data/khao-thi-phuc-khao/hinh-thuc-thoi-luong-thi.md,Hình thức và thời lượng thi,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
xu-ly-vi-pham-nguoi-hoc,data/khao-thi-phuc-khao/xu-ly-vi-pham-nguoi-hoc.md,Xử lý người học vi phạm quy chế thi,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
xu-ly-vi-pham-can-bo,data/khao-thi-phuc-khao/xu-ly-vi-pham-can-bo.md,Xử lý cán bộ vi phạm quy chế tổ chức thi, chấm thi,https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QĐ-ĐHCN,public-source
loai-hinh-thi-truc-tuyen,data/khao-thi-phuc-khao/loai-hinh-thi-truc-tuyen.md,Các loại hình thi trực tuyến,https://tqa.iuh.edu.vn/cong-tac-khao-thi/loai-hinh-thi-truc-tuyen/,2026-09-19,not-stated,public-source
